Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,AREF_13,AREF_14,AREF_15,AREF_16,AREF_17,AREF_18,AREF_19,AREF_20,AREF_21,AREF_22,AREF_23,AREF_24,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8,RREF_9,RREF_10,RREF_11,RREF_12,RREF_13,RREF_14,RREF_15,RREF_16,RREF_17
0.37099999,0.25810217900000004,0.14890032,0.19883265,0.21114056,0.34344584,0.29104754,0.36828172,0.47836781,0.41568497,0.11335261,0.1209079,0.46495235,0.4599553,0.31842637,0.32452521,0.3307161,0.082522012,0.17176682,0.14531255,0.18652929,0.075633444,0.13556509,0.12133077,0.2093934,0.47786167,,,,,,,,,,,,,,,,,,
0.37200001,0.25989335016666665,0.15056983,0.2007858,0.21318008,0.3459006,0.29253995,0.3706708,0.48032221,0.41711628,0.11304995,0.12257323,0.46601716,0.46146169,0.32010362,0.32630113,0.33140433,0.083372675,0.1752045,0.14834414,0.19005063,0.077291839,0.13668315,0.12335899,0.21122324,0.47991458,,,,,,,,,,,,,,,,,,
0.373,0.2614643513333333,0.15223011,0.20263588,0.21519038,0.34827328,0.29438815,0.37282357,0.48212141,0.42020866,0.11600131,0.12417038,0.46428984,0.4614825,0.31884325,0.3279182,0.32989937,0.084231406,0.17856435,0.15131319,0.19354616,0.079001196,0.13782012,0.1254171,0.21292081,0.48185381,,,,,,,,,,,,,,,,,,
0.37400001,0.2634190835416667,0.15388159,0.20440282,0.21719021,0.35055023,0.29617059,0.37473223,0.48379609,0.42003697,0.11530106,0.12569076,0.4678649,0.46405914,0.32180727,0.32938451,0.3335627,0.085101314,0.18187137,0.15422124,0.19699791,0.080753371,0.13897829,0.12750208,0.21450013,0.48370123,,,,,,,,,,,,,,,,,,
0.375,0.26536562008333336,0.15552621,0.20612511,0.21920197,0.35274097,0.29804099,0.37641153,0.48537904,0.4214994,0.11579622,0.12713979,0.47104299,0.46624124,0.32447791,0.33071464,0.33603537,0.085990585,0.18516009,0.15708569,0.20039533,0.082540967,0.14016418,0.12961724,0.21597528,0.48547214,,,,,,,,,,,,,,,,,,
0.37599999,0.2671279317083333,0.15716392,0.20785475,0.22123766,0.35487801,0.30002996,0.37790179,0.48689488,0.42482913,0.1184757,0.12852447,0.47200826,0.46706226,0.32520443,0.33193436,0.33597711,0.086910047,0.18846124,0.15993305,0.20373487,0.084357604,0.14139034,0.13177362,0.21736149,0.48717141,,,,,,,,,,,,,,,,,,
0.377,0.26879011762500005,0.15878618,0.20963562,0.22328454,0.35700032,0.30195665,0.37925956,0.48835346,0.42781901,0.12152737,0.12984163,0.47258666,0.4672401,0.3251802,0.33307955,0.33563745,0.087869361,0.19178371,0.1627838,0.20701413,0.086196832,0.14267308,0.13398376,0.21867615,0.4887937,,,,,,,,,,,,,,,,,,
0.37799999,0.27064172829166666,0.1603733,0.21147816,0.22530492,0.35913172,0.30374935,0.38053787,0.48975575,0.42843258,0.12181717,0.1310789,0.47465366,0.47033307,0.32750088,0.33418608,0.33862042,0.088875413,0.19510722,0.16564125,0.21022712,0.088050216,0.14402559,0.1362512,0.21993874,0.4903309,,,,,,,,,,,,,,,,,,
0.37900001,0.27230446245833334,0.16190094,0.21335594,0.22725226,0.3612743,0.3054117,0.38177136,0.49110663,0.42887387,0.12082066,0.13222602,0.47656351,0.47239387,0.32921195,0.33527809,0.34079918,0.089934528,0.1983943,0.1684958,0.2133669,0.089907631,0.14545299,0.13856614,0.22116876,0.49177977,,,,,,,,,,,,,,,,,,
0.38,0.27366427816666666,0.16335131,0.2152229,0.22909084,0.36341625,0.30702206,0.38297561,0.49242315,0.43079674,0.12083579,0.13328493,0.47714579,0.47165388,0.32875019,0.33636457,0.34003106,0.0910528,0.20160881,0.17133689,0.21643166,0.091759756,0.14695022,0.1409075,0.22238325,0.49314672,,,,,,,,,,,,,,,,,,
0.38100001,0.2753517973333333,0.16472149,0.2170382,0.23080899,0.36554521,0.30877426,0.38415599,0.49373269,0.4332045,0.1219659,0.13427082,0.4789134,0.4726418,0.3301717,0.33744338,0.34109196,0.092235468,0.20473096,0.17416285,0.21942864,0.093603358,0.1485067,0.14325163,0.22359541,0.49444783,,,,,,,,,,,,,,,,,,
0.382,0.2767544453333333,0.16602215,0.21877825,0.23241711,0.36765513,0.31048176,0.38531762,0.49506557,0.43473619,0.12258987,0.135206,0.47899288,0.47304401,0.3300719,0.33850807,0.34097144,0.093486428,0.20775773,0.17698096,0.22237009,0.09544307,0.15011245,0.14557877,0.22481462,0.49570462,,,,,,,,,,,,,,,,,,
