Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,AREF_13,AREF_14,AREF_15,AREF_16,AREF_17,AREF_18,AREF_19,AREF_20,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8,RREF_9,RREF_10,RREF_11,RREF_12,RREF_13
0.89200002,0.6627653815000001,0.65133071,0.71331859,0.5005365,0.82392281,0.77655143,0.84653378,0.70047456,0.63208884,0.59744811,0.60629851,0.73832256,0.6452406,0.76166511,0.7822113,0.60890865,0.52059829,0.5884226,0.5078609,0.5941453,0.65942848,,,,,,,,,,,,,,
0.89300001,0.6628048809999999,0.65140557,0.71329671,0.50053495,0.82395667,0.77667725,0.84655583,0.7004537,0.63224274,0.59745318,0.6063751,0.73848635,0.64510918,0.76181912,0.78221023,0.60896695,0.52061296,0.5884819,0.50778949,0.59437543,0.65929431,,,,,,,,,,,,,,
0.89399999,0.6628276489999998,0.65148127,0.71331877,0.50052416,0.82399249,0.77685231,0.84659594,0.70041502,0.63240498,0.59741318,0.60645127,0.73853248,0.64503503,0.76201373,0.78217566,0.60897297,0.52056521,0.58848679,0.50771588,0.5945068,0.65909904,,,,,,,,,,,,,,
0.89499998,0.662836077,0.65155655,0.71338785,0.50050133,0.82403862,0.77708018,0.84663814,0.70035928,0.63256216,0.59732604,0.60654557,0.73844528,0.64502299,0.7622509,0.78210372,0.60897171,0.52049035,0.58842605,0.50764561,0.59452623,0.65884298,,,,,,,,,,,,,,
0.89600003,0.6628409365000001,0.65162879,0.71349496,0.50046581,0.82408452,0.77734953,0.84667623,0.70028824,0.63272995,0.59719998,0.60664392,0.73824048,0.6450603,0.76251858,0.7820012,0.60903442,0.52051395,0.58831066,0.50759262,0.59444726,0.65853733,,,,,,,,,,,,,,
0.89700001,0.6628356805,0.65169495,0.71362787,0.50041723,0.82413012,0.77764523,0.84672904,0.70020306,0.63291961,0.59704524,0.60674566,0.73794138,0.64512992,0.76280183,0.7818768,0.60909367,0.52053314,0.58815604,0.50753856,0.59428912,0.65819514,,,,,,,,,,,,,,
0.898,0.6628160115000001,0.65175205,0.7137748,0.50035536,0.82417852,0.77795255,0.84679884,0.70010561,0.63312316,0.59687233,0.60685688,0.73757094,0.64521521,0.76308584,0.78173947,0.60911918,0.5204981,0.58797789,0.50744253,0.59407097,0.65783,,,,,,,,,,,,,,
0.89899999,0.6627837480000001,0.65179688,0.71392369,0.50027978,0.82423633,0.77825636,0.84685802,0.69999737,0.63330704,0.59669149,0.60698944,0.73715234,0.6452992,0.76335555,0.78159821,0.60913253,0.52043784,0.58779168,0.50730395,0.59381211,0.65745515,,,,,,,,,,,,,,
0.89999998,0.6627500654999999,0.65182662,0.71406263,0.50019026,0.82429761,0.77854198,0.84692067,0.69987994,0.63349277,0.59651303,0.60712564,0.73670852,0.64536524,0.76359606,0.78146178,0.60916018,0.52040678,0.58761317,0.50722277,0.59353173,0.65708393,,,,,,,,,,,,,,
0.90100002,0.6627184660000001,0.65183812,0.71417946,0.50008643,0.82436937,0.77879435,0.84698707,0.69975489,0.63367766,0.59634727,0.60726881,0.73626256,0.64539647,0.76379234,0.78133911,0.60923636,0.52043122,0.58745784,0.50717139,0.5932489,0.6567297,,,,,,,,,,,,,,
0.90200001,0.6626862725,0.65182835,0.71426255,0.49996802,0.82445133,0.77899867,0.84705734,0.69962376,0.63386166,0.59620482,0.60742557,0.73583764,0.64537603,0.76392955,0.78123903,0.60933793,0.52047455,0.58734137,0.5071184,0.59298307,0.65640581,,,,,,,,,,,,,,
0.903,0.6626546079999998,0.65179437,0.71429962,0.49983475,0.82451546,0.77914,0.84712744,0.69948828,0.63405514,0.5960958,0.60759407,0.73545682,0.6452871,0.76399273,0.78117049,0.60943741,0.52053434,0.58727926,0.50711018,0.59275329,0.65612561,,,,,,,,,,,,,,
0.90399998,0.6626186149999999,0.6517331,0.71427888,0.49968627,0.82459009,0.77920347,0.84721816,0.69934994,0.63426131,0.59603059,0.60774922,0.73514307,0.64511305,0.76396698,0.78114241,0.6095075,0.52051753,0.58728719,0.50711226,0.59257889,0.65590239,,,,,,,,,,,,,,
