Wavelength,AREF_Mean,AREF_1,AREF_2,AREF_3,AREF_4,AREF_5,AREF_6,AREF_7,AREF_8,AREF_9,AREF_10,AREF_11,AREF_12,RREF_Mean,RREF_1,RREF_2,RREF_3,RREF_4,RREF_5,RREF_6,RREF_7,RREF_8
1.788,0.2960441833333333,0.36139119,0.8350482,0.12605317,0.12759925,0.16364679,0.20615637,0.2646074,0.3536872,0.40651271,0.15163624,0.12593019,0.43026149,0.22047022374999997,0.12204513,0.13599361,0.15356663,0.19900937,0.24822032,0.36678654,0.42074764,0.11739255
1.789,0.2960837275,0.36161068,0.83510077,0.12613444,0.12733084,0.16373779,0.20588601,0.26479039,0.35369366,0.40684491,0.15165356,0.12602349,0.43019819,0.22053695999999998,0.12207875,0.13602494,0.15361708,0.19909427,0.24834386,0.36692494,0.42079553,0.11741631
1.79,0.296106375,0.36180186,0.83513147,0.12620929,0.12704951,0.16384037,0.20545983,0.2649931,0.35355631,0.40718839,0.1516805,0.12610941,0.43025646,0.22060127625,0.12211181,0.13605775,0.15366603,0.19917887,0.24846642,0.36705852,0.42083126,0.11743955
1.791,0.2961128258333333,0.36195886,0.83513635,0.12627693,0.12676142,0.163949,0.20489888,0.26520887,0.35330093,0.40754184,0.1517029,0.12618442,0.43043351,0.220663955,0.12214378,0.13609208,0.15371493,0.19926459,0.24858852,0.3671881,0.42085716,0.11746248
1.7920001,0.29610529,0.36207616,0.83511096,0.12633668,0.1264742,0.16405679,0.20423718,0.26543203,0.35296863,0.40790245,0.15170828,0.12624352,0.4307166,0.2207257925,0.12217417,0.13612784,0.15376505,0.19935264,0.2487105,0.3673149,0.42087579,0.11748545
1.793,0.2960896691666666,0.36214903,0.83505064,0.126388,0.12619646,0.16415595,0.2035197,0.26565775,0.35261342,0.40826598,0.1517143,0.12628061,0.43108419,0.22078757375000002,0.12220256,0.13616484,0.15381743,0.199444,0.24883267,0.36744022,0.42089,0.11750887
1.794,0.29607173,0.36217386,0.83495104,0.12643051,0.12593727,0.16423842,0.20279858,0.26588231,0.35229704,0.40862709,0.15172739,0.12628907,0.43150818,0.220850025,0.12222879,0.13620275,0.15387274,0.1995393,0.24895519,0.36756536,0.42090285,0.11753322
1.795,0.2960585275,0.3621484,0.83480865,0.12646393,0.12570572,0.16429672,0.20212863,0.26610246,0.35208294,0.40897927,0.15176634,0.12626256,0.43195671,0.22091372250000002,0.12225287,0.13624114,0.15393123,0.19963869,0.24907807,0.3676914,0.42091745,0.11755893
1.796,0.2960543958333333,0.36207244,0.83462149,0.12648813,0.12551001,0.16432494,0.20156108,0.26631567,0.35202819,0.40931553,0.15182124,0.12619604,0.43239799,0.22097911124999997,0.12227506,0.13627952,0.15399285,0.1997419,0.24920124,0.36781925,0.42093667,0.1175864
1.7970001,0.29606233083333333,0.36194834,0.8343904,0.12650308,0.12535667,0.16431996,0.20113769,0.26651964,0.35217541,0.4096283,0.15187794,0.12608691,0.43280363,0.22104645874999998,0.12229582,0.13631742,0.15405728,0.19984825,0.24932456,0.3679494,0.42096305,0.11761589
1.798,0.29608319583333326,0.36178157,0.83411932,0.12650894,0.12524979,0.16428231,0.20088542,0.26671228,0.35254556,0.40990993,0.15191558,0.12593578,0.43315187,0.22111587875,0.12231575,0.13635437,0.15412404,0.19995683,0.24944788,0.36808211,0.42099851,0.11764754
1.799,0.2961171275,0.36158079,0.83381557,0.126506,0.12519065,0.16421658,0.2008137,0.26689175,0.35313499,0.41015291,0.15192628,0.12574692,0.43342939,0.22118736625000002,0.12233552,0.13639005,0.1541927,0.20006664,0.2495711,0.36821747,0.42104417,0.11768128
1.8,0.2961634716666667,0.36135778,0.83349013,0.12649469,0.1251778,0.1641314,0.20091452,0.26705629,0.35391513,0.41034976,0.15191467,0.12552828,0.43363121,0.22126076,0.12235576,0.13642427,0.15426283,0.20017664,0.24969412,0.3683553,0.42110038,0.11771678
